Symbol,Last Price,Change,P Change,Previous Close,Open,Day High,Day Low,Volume,Time,Date,52W High,52W Low,Market Cap (Cr),P/E Ratio,EPS,Sector,VWAP,Deliverable Volume,Deliverable %
ADANIENT,2197.75,-25.17,-1.13,2222.92,2233.82,2233.82,2197.75,3463693,2025-05-16 14:58:00,2025-05-16,2805.8,1870.54,106591.05,15.38,142.9,Infrastructure,2190.3,2306712,64.12
TECHM,2602.5,-8.21,-0.31,2610.71,2617.35,2617.35,2588.21,2265429,2025-05-16 14:57:00,2025-05-16,3111.12,2074.08,163957.47,15.85,164.2,Infrastructure,2605.23,1222194,53.0
HDFCLIFE,2066.85,-14.9,-0.72,2081.75,2074.29,2083.51,2066.85,4418025,2025-05-16 14:56:00,2025-05-16,2231.45,1487.63,141992.39,13.95,148.16,Infrastructure,2066.0,2939061,64.12
BAJAJ-AUTO,1173.07,-3.13,-0.27,1176.2,1182.95,1182.95,1158.74,1518435,2025-05-16 14:54:00,2025-05-16,1320.2,880.14,36834.36,18.28,64.17,Oil & Gas,1176.36,907882,71.92
HDFCBANK,1512.19,-24.25,-1.58,1536.44,1529.73,1530.25,1512.19,5572858,2025-05-16 14:52:00,2025-05-16,1896.6,1264.4,80902.08,21.32,70.93,Banking,1518.47,4088261,75.32
TECHM,2599.68,-11.03,-0.42,2610.71,2617.35,2617.35,2588.21,3306963,2025-05-16 14:52:00,2025-05-16,3111.12,2074.08,67331.68,15.38,169.03,Infrastructure,2593.37,1870391,43.94
UPL,2691.24,-28.89,-1.06,2720.13,2706.55,2712.27,2669.4,2550917,2025-05-16 14:52:00,2025-05-16,3451.15,2300.77,148287.19,69.16,38.91,FMCG,2682.41,1453441,60.02
AXISBANK,1033.13,-11.68,-1.12,1044.81,1043.7,1046.23,1033.13,2393035,2025-05-16 14:49:00,2025-05-16,1260.36,840.24,22728.92,19.33,53.45,Banking,1033.88,1387927,79.53
TATAMOTORS,3181.89,-42.02,-1.3,3223.91,3237.3,3237.3,3181.89,3613789,2025-05-16 14:48:00,2025-05-16,3771.08,2514.06,190913.52,21.28,149.53,Auto,3177.47,2837313,60.85
JSWSTEEL,855.65,-2.09,-0.24,857.74,861.24,861.24,845.44,2842356,2025-05-16 14:48:00,2025-05-16,1086.4,724.26,43381.3,10.57,80.95,Metal,855.4,2095241,50.72
TITAN,2976.6,-63.25,-2.08,3039.85,3060.55,3060.55,2976.6,1130235,2025-05-16 14:46:00,2025-05-16,3900.72,2600.48,152699.46,37.4,79.59,Consumer Durables,2977.1,888142,76.59
HDFCBANK,1520.01,-16.43,-1.07,1536.44,1529.73,1530.25,1520.01,3801213,2025-05-16 14:44:00,2025-05-16,1896.6,1264.4,89376.74,21.66,70.18,Banking,1513.26,1634708,79.21
ADANIPORTS,3065.04,-17.73,-0.58,3082.77,3049.42,3070.41,3049.42,1832718,2025-05-16 14:43:00,2025-05-16,3519.0,2346.0,153865.12,15.55,197.11,Infrastructure,3062.8,1139597,67.16
UPL,2695.51,-24.62,-0.91,2720.13,2706.55,2712.27,2669.4,680170,2025-05-16 14:42:00,2025-05-16,3451.15,2300.77,101620.56,53.85,50.06,FMCG,2696.2,438753,74.49
DIVISLAB,1468.42,-15.09,-1.02,1483.51,1493.61,1493.61,1467.28,2281980,2025-05-16 14:41:00,2025-05-16,1767.94,1178.62,92069.69,19.6,74.92,Banking,1462.41,1558072,75.79
HINDUNILVR,2620.83,-36.73,-1.38,2657.56,2674.49,2674.49,2620.83,1622179,2025-05-16 14:40:00,2025-05-16,3048.9,2032.6,117675.46,65.88,39.78,FMCG,2619.5,812431,54.49
SBIN,768.98,-3.82,-0.49,772.8,766.75,772.38,766.75,2896276,2025-05-16 14:39:00,2025-05-16,888.96,592.64,35757.78,22.09,34.81,Banking,767.9,2270448,69.54
MARUTI,11008.45,-116.56,-1.05,11125.01,11110.5,11133.48,10989.63,1846410,2025-05-16 14:39:00,2025-05-16,12420.9,8280.6,311539.1,27.09,406.37,Auto,11038.41,1219259,44.07
ONGC,3357.34,-30.39,-0.9,3387.73,3376.21,3376.21,3324.71,3816082,2025-05-16 14:39:00,2025-05-16,4194.2,2796.14,99713.07,18.93,177.36,Oil & Gas,3343.72,2392621,73.12
SUNPHARMA,1442.08,-15.87,-1.09,1457.95,1443.97,1459.6,1442.08,3688807,2025-05-16 14:38:00,2025-05-16,1585.02,1056.68,114356.71,34.74,41.51,Pharma,1439.67,1493469,45.16
BRITANNIA,1440.88,-13.97,-0.96,1454.85,1446.71,1454.15,1435.39,893369,2025-05-16 14:37:00,2025-05-16,1712.21,1141.47,91063.69,20.71,69.57,Auto,1438.03,394491,41.43
SUNPHARMA,1459.6,1.65,0.11,1457.95,1443.97,1459.6,1442.78,2642043,2025-05-16 14:36:00,2025-05-16,1585.02,1056.68,112389.38,31.8,45.9,Pharma,1461.54,2034064,70.01
ULTRACEMCO,4732.21,-38.8,-0.81,4771.01,4782.06,4782.06,4727.37,2628137,2025-05-16 14:36:00,2025-05-16,5900.29,3933.53,301915.07,32.0,147.88,Cement,4728.59,1358649,76.93
INDUSINDBK,3321.38,5.51,0.17,3315.87,3327.13,3327.13,3273.95,3264420,2025-05-16 14:31:00,2025-05-16,3807.01,2538.01,225854.06,23.76,139.79,Financial Services,3318.15,1908575,46.71
ICICIBANK,808.33,-7.79,-0.96,816.12,823.06,823.06,803.91,3923253,2025-05-16 14:29:00,2025-05-16,1020.48,680.32,54885.32,19.08,42.37,Banking,806.31,2906843,74.03
BAJAJFINSV,1592.35,-10.11,-0.63,1602.46,1611.3,1611.3,1579.69,1547113,2025-05-16 14:29:00,2025-05-16,1980.36,1320.24,64808.7,25.2,63.19,Financial Services,1587.39,627818,64.95
RELIANCE,2391.99,-28.17,-1.16,2420.16,2436.59,2436.59,2382.9,2895933,2025-05-16 14:25:00,2025-05-16,2940.9,1960.6,149738.26,13.66,175.11,Oil & Gas,2384.78,1399422,63.91
TATASTEEL,1075.57,-4.52,-0.42,1080.09,1074.04,1075.57,1072.33,910405,2025-05-16 14:25:00,2025-05-16,1238.78,825.86,33127.45,15.36,70.02,Metal,1074.71,483384,65.93
TATASTEEL,1075.57,-4.52,-0.42,1080.09,1074.04,1075.57,1072.33,2837595,2025-05-16 14:25:00,2025-05-16,1238.78,825.86,50336.51,12.15,88.52,Metal,1073.44,2175109,43.36
ADANIPORTS,3055.63,-27.14,-0.88,3082.77,3049.42,3070.41,3049.42,1291490,2025-05-16 14:25:00,2025-05-16,3519.0,2346.0,115808.33,26.66,114.61,Infrastructure,3055.63,775435,60.75
MARUTI,10989.63,-135.38,-1.22,11125.01,11110.5,11133.48,10989.63,3752002,2025-05-16 14:24:00,2025-05-16,12420.9,8280.6,665971.83,25.34,433.69,Auto,10986.86,2790627,56.29
TITAN,3024.5,-15.35,-0.5,3039.85,3060.55,3060.55,3000.73,1429750,2025-05-16 14:24:00,2025-05-16,3900.72,2600.48,143361.36,50.37,60.05,Consumer Durables,3034.35,684327,67.99
TECHM,2592.75,-17.96,-0.69,2610.71,2617.35,2617.35,2588.21,1865171,2025-05-16 14:24:00,2025-05-16,3111.12,2074.08,144156.96,12.46,208.09,Infrastructure,2580.91,1140197,41.6
INDUSINDBK,3324.77,8.9,0.27,3315.87,3327.13,3327.13,3273.95,2529500,2025-05-16 14:24:00,2025-05-16,3807.01,2538.01,254677.49,19.88,167.24,Financial Services,3316.54,1507729,43.12
HDFCLIFE,2078.53,-3.22,-0.15,2081.75,2074.29,2083.51,2068.18,1329025,2025-05-16 14:24:00,2025-05-16,2231.45,1487.63,148199.1,17.48,118.91,Infrastructure,2086.73,870769,71.56
LT,2895.01,-23.55,-0.81,2918.56,2936.57,2936.57,2895.01,850338,2025-05-16 14:23:00,2025-05-16,3576.48,2384.32,172832.07,25.38,114.07,Construction,2888.5,448218,50.24
ULTRACEMCO,4746.86,-24.15,-0.51,4771.01,4782.06,4782.06,4727.37,2743970,2025-05-16 14:22:00,2025-05-16,5900.29,3933.53,319938.28,22.64,209.67,Cement,4761.87,1561026,42.44
POWERGRID,1829.76,-7.84,-0.43,1837.6,1843.1,1847.65,1820.56,1960835,2025-05-16 14:21:00,2025-05-16,2003.86,1335.9,146380.56,13.88,131.83,Power,1832.59,1543047,40.24
POWERGRID,1833.95,-3.65,-0.2,1837.6,1843.1,1847.65,1820.56,2783237,2025-05-16 14:19:00,2025-05-16,2003.86,1335.9,62171.05,8.66,211.77,Power,1841.23,1310843,63.05
NTPC,4237.33,-40.1,-0.94,4277.43,4230.87,4259.31,4230.87,3632706,2025-05-16 14:13:00,2025-05-16,5136.35,3424.23,185594.97,8.48,499.68,Power,4243.01,2306897,62.31
INDUSINDBK,3273.95,-41.92,-1.26,3315.87,3327.13,3327.13,3273.95,2144819,2025-05-16 14:13:00,2025-05-16,3807.01,2538.01,84467.93,19.3,169.63,Financial Services,3266.69,1453880,69.56
RELIANCE,2391.94,-28.22,-1.17,2420.16,2436.59,2436.59,2382.9,5010421,2025-05-16 14:10:00,2025-05-16,2940.9,1960.6,150214.03,10.41,229.77,Oil & Gas,2391.04,2347774,58.3
TATASTEEL,1072.33,-7.76,-0.72,1080.09,1074.04,1075.21,1072.33,2564786,2025-05-16 14:10:00,2025-05-16,1238.78,825.86,83856.48,12.58,85.24,Metal,1071.62,1511165,56.61
INFY,1372.13,-14.61,-1.05,1386.74,1371.44,1379.97,1370.04,3723117,2025-05-16 14:09:00,2025-05-16,1704.36,1136.24,65176.33,29.48,46.54,IT,1375.2,1875820,49.8
LT,2902.77,-15.79,-0.54,2918.56,2936.57,2936.57,2902.77,1565454,2025-05-16 14:07:00,2025-05-16,3576.48,2384.32,109144.28,17.09,169.85,Construction,2901.43,635411,75.1
JSWSTEEL,846.63,-11.11,-1.3,857.74,861.24,861.24,845.44,3438281,2025-05-16 14:06:00,2025-05-16,1086.4,724.26,62735.34,9.93,85.26,Metal,843.34,2686202,74.74
BPCL,4823.95,0.05,0.0,4823.9,4773.77,4823.95,4762.09,4029892,2025-05-16 14:04:00,2025-05-16,5508.67,3672.45,269658.96,10.84,445.01,Oil & Gas,4808.72,2633922,49.91
ADANIPORTS,3068.22,-14.55,-0.47,3082.77,3049.42,3070.41,3049.42,2319073,2025-05-16 14:03:00,2025-05-16,3519.0,2346.0,135001.56,22.77,134.75,Infrastructure,3071.26,1055249,48.41
TATASTEEL,1073.93,-6.16,-0.57,1080.09,1074.04,1075.21,1073.93,981305,2025-05-16 14:02:00,2025-05-16,1238.78,825.86,60032.76,11.95,89.87,Metal,1070.34,584175,50.11
CIPLA,2229.93,-42.47,-1.87,2272.4,2287.07,2287.07,2229.93,3409609,2025-05-16 14:02:00,2025-05-16,2876.96,1917.98,135802.78,16.1,138.51,Banking,2224.04,1657938,61.34
KOTAKBANK,1753.9,-11.62,-0.66,1765.52,1749.97,1756.57,1747.96,2168257,2025-05-16 14:01:00,2025-05-16,2100.72,1400.48,75417.81,22.61,77.57,Banking,1755.94,1568778,61.2
BHARTIARTL,945.69,-8.54,-0.9,954.23,945.02,949.09,943.8,2971005,2025-05-16 14:01:00,2025-05-16,1176.18,784.12,60618.42,20.19,46.84,Telecom,943.54,1383050,63.22
BHARTIARTL,945.69,-8.54,-0.9,954.23,945.02,949.09,943.8,2412382,2025-05-16 14:01:00,2025-05-16,1176.18,784.12,46905.98,23.96,39.47,Telecom,947.31,1262898,78.95
CIPLA,2236.37,-36.03,-1.59,2272.4,2287.07,2287.07,2236.37,503859,2025-05-16 13:59:00,2025-05-16,2876.96,1917.98,127025.92,15.14,147.71,Banking,2230.79,266817,75.83
WIPRO,468.95,-4.16,-0.88,473.11,476.94,476.94,468.95,1250230,2025-05-16 13:58:00,2025-05-16,540.18,360.12,25135.85,25.98,18.05,IT,467.09,576889,43.18
BPCL,4764.9,-59.0,-1.22,4823.9,4773.77,4823.64,4762.09,1247444,2025-05-16 13:57:00,2025-05-16,5508.67,3672.45,114834.09,15.76,302.34,Oil & Gas,4757.72,815483,56.33
TATAMOTORS,3205.73,-18.18,-0.56,3223.91,3237.3,3237.3,3186.89,1804152,2025-05-16 13:52:00,2025-05-16,3771.08,2514.06,95210.09,21.86,146.65,Auto,3212.84,742583,68.95
HINDUNILVR,2625.92,-31.64,-1.19,2657.56,2674.49,2674.49,2625.92,2158439,2025-05-16 13:49:00,2025-05-16,3048.9,2032.6,137860.66,46.89,56.0,FMCG,2628.92,1412976,42.67
DIVISLAB,1473.75,-9.76,-0.66,1483.51,1493.61,1493.61,1467.28,994037,2025-05-16 13:49:00,2025-05-16,1767.94,1178.62,117900.38,21.06,69.98,Banking,1479.6,776767,63.11
SBIN,772.38,-0.42,-0.05,772.8,766.75,772.38,766.75,1507761,2025-05-16 13:48:00,2025-05-16,888.96,592.64,43175.99,15.85,48.73,Banking,774.57,872171,58.32
KOTAKBANK,1747.96,-17.56,-0.99,1765.52,1749.97,1756.57,1747.96,1252494,2025-05-16 13:46:00,2025-05-16,2100.72,1400.48,113092.83,17.26,101.27,Banking,1749.32,782205,63.74
TATACONSUM,4279.41,-43.8,-1.01,4323.21,4317.9,4317.9,4262.21,2224415,2025-05-16 13:46:00,2025-05-16,5522.58,3681.72,96286.75,10.48,408.34,Oil & Gas,4298.34,1570545,47.23
ICICIBANK,815.87,-0.25,-0.03,816.12,823.06,823.06,803.91,3550538,2025-05-16 13:44:00,2025-05-16,1020.48,680.32,53031.37,18.97,43.01,Banking,819.75,2675920,72.08
KOTAKBANK,1755.28,-10.24,-0.58,1765.52,1749.97,1756.57,1749.97,1844074,2025-05-16 13:44:00,2025-05-16,2100.72,1400.48,89870.54,21.16,82.95,Banking,1747.41,1338591,48.46
WIPRO,471.01,-2.1,-0.44,473.11,476.94,476.94,469.23,1714327,2025-05-16 13:44:00,2025-05-16,540.18,360.12,26847.32,33.69,13.98,IT,473.08,854097,47.41
POWERGRID,1847.65,10.05,0.55,1837.6,1843.1,1847.65,1820.56,837095,2025-05-16 13:44:00,2025-05-16,2003.86,1335.9,117880.2,11.55,159.97,Power,1839.12,624386,60.45
COALINDIA,1827.26,-8.0,-0.44,1835.26,1836.58,1836.58,1820.3,1274762,2025-05-16 13:44:00,2025-05-16,2161.19,1440.79,63588.62,13.04,140.13,Power,1831.69,1006939,76.01
HEROMOTOCO,2400.9,-3.45,-0.14,2404.35,2391.76,2400.9,2389.92,666204,2025-05-16 13:44:00,2025-05-16,2893.06,1928.7,172144.64,23.99,100.08,Financial Services,2397.25,432359,44.88
BHARTIARTL,949.09,-5.14,-0.54,954.23,945.02,949.09,943.8,2414474,2025-05-16 13:43:00,2025-05-16,1176.18,784.12,62734.76,21.61,43.92,Telecom,950.53,1391425,78.05
ICICIBANK,803.91,-12.21,-1.5,816.12,823.06,823.06,803.91,2038576,2025-05-16 13:40:00,2025-05-16,1020.48,680.32,54987.25,24.13,33.32,Banking,802.25,1336009,51.71
SBIN,771.02,-1.78,-0.23,772.8,766.75,771.02,766.75,2172748,2025-05-16 13:40:00,2025-05-16,888.96,592.64,42406.11,17.94,42.98,Banking,773.45,1079770,72.07
ASIANPAINT,2942.03,-21.53,-0.73,2963.56,2951.12,2951.12,2933.75,528847,2025-05-16 13:39:00,2025-05-16,3780.78,2520.52,182700.12,67.51,43.58,Paints,2947.74,404036,50.09
HINDALCO,4608.56,-23.72,-0.51,4632.28,4595.26,4608.56,4585.44,1859409,2025-05-16 13:38:00,2025-05-16,5710.67,3807.11,274209.54,24.61,187.26,IT,4598.84,847924,66.94
BAJFINANCE,7180.99,-69.45,-0.96,7250.44,7250.93,7250.93,7180.99,1367215,2025-05-16 13:37:00,2025-05-16,8461.08,5640.72,252052.59,22.09,325.08,Financial Services,7181.7,768958,59.69
TATAMOTORS,3209.99,-13.92,-0.43,3223.91,3237.3,3237.3,3186.89,2144653,2025-05-16 13:35:00,2025-05-16,3771.08,2514.06,181043.64,23.63,135.84,Auto,3195.85,1604098,56.93
BRITANNIA,1435.39,-19.46,-1.34,1454.85,1446.71,1454.15,1435.39,2217958,2025-05-16 13:34:00,2025-05-16,1712.21,1141.47,34162.19,23.35,61.47,Auto,1429.96,1542391,68.35
BRITANNIA,1450.13,-4.72,-0.32,1454.85,1446.71,1454.15,1446.71,501182,2025-05-16 13:31:00,2025-05-16,1712.21,1141.47,61775.64,22.42,64.68,Auto,1443.12,266910,54.8
APOLLOHOSP,2993.83,-44.48,-1.46,3038.31,3059.47,3059.47,2993.83,2708189,2025-05-16 13:30:00,2025-05-16,3432.05,2288.03,138913.8,11.2,267.31,Power,2986.33,1885600,68.79
BAJAJFINSV,1579.69,-22.77,-1.42,1602.46,1611.3,1611.3,1579.69,1096067,2025-05-16 13:29:00,2025-05-16,1980.36,1320.24,61765.98,23.85,66.23,Financial Services,1583.14,501559,72.09
TATACONSUM,4308.35,-14.86,-0.34,4323.21,4317.9,4317.9,4262.21,1624113,2025-05-16 13:29:00,2025-05-16,5522.58,3681.72,106416.23,12.59,342.2,Oil & Gas,4315.35,1210425,67.15
TCS,3287.1,-8.81,-0.27,3295.91,3263.21,3287.1,3263.21,3774908,2025-05-16 13:27:00,2025-05-16,4020.24,2680.16,117020.81,25.78,127.51,IT,3284.18,1589843,66.95
M&M,2987.28,-27.5,-0.91,3014.78,3030.36,3030.36,2983.88,1700395,2025-05-16 13:27:00,2025-05-16,3550.96,2367.3,112919.17,27.54,108.47,Auto,2972.38,923662,64.79
MARUTI,11031.65,-93.36,-0.84,11125.01,11110.5,11133.48,11031.65,2428963,2025-05-16 13:24:00,2025-05-16,12420.9,8280.6,608947.14,26.19,421.22,Auto,11029.58,1062671,59.2
DIVISLAB,1480.86,-2.65,-0.18,1483.51,1493.61,1493.61,1467.28,1302713,2025-05-16 13:22:00,2025-05-16,1767.94,1178.62,68415.82,21.08,70.25,Banking,1487.79,567175,68.71
TCS,3269.38,-26.53,-0.8,3295.91,3263.21,3282.09,3263.21,1481811,2025-05-16 13:19:00,2025-05-16,4020.24,2680.16,121294.03,24.67,132.52,IT,3281.07,771120,54.73
HCLTECH,1230.74,-8.57,-0.69,1239.31,1231.1,1240.6,1230.74,2356348,2025-05-16 13:19:00,2025-05-16,1416.54,944.36,60060.06,26.22,46.94,IT,1236.1,983380,52.98
AXISBANK,1043.4,-1.41,-0.13,1044.81,1043.7,1046.23,1037.72,1880864,2025-05-16 13:19:00,2025-05-16,1260.36,840.24,37145.12,15.77,66.16,Banking,1039.26,1018715,71.75
TECHM,2599.96,-10.75,-0.41,2610.71,2617.35,2617.35,2588.21,800514,2025-05-16 13:19:00,2025-05-16,3111.12,2074.08,56159.06,24.7,105.26,Infrastructure,2595.63,577061,78.29
APOLLOHOSP,3023.84,-14.47,-0.48,3038.31,3059.47,3059.47,3023.84,845825,2025-05-16 13:19:00,2025-05-16,3432.05,2288.03,116720.13,13.31,227.19,Power,3021.48,676113,57.48
WIPRO,472.43,-0.68,-0.14,473.11,476.94,476.94,469.23,1090923,2025-05-16 13:18:00,2025-05-16,540.18,360.12,32078.11,34.17,13.83,IT,474.2,780682,46.43
HDFCBANK,1530.25,-6.19,-0.4,1536.44,1529.73,1530.25,1521.76,2521437,2025-05-16 13:17:00,2025-05-16,1896.6,1264.4,84776.01,24.73,61.88,Banking,1525.94,1678197,42.65
ASIANPAINT,2933.75,-29.81,-1.01,2963.56,2951.12,2951.12,2933.75,1767191,2025-05-16 13:16:00,2025-05-16,3780.78,2520.52,159889.45,68.44,42.87,Paints,2943.62,1172727,42.94
M&M,3003.62,-11.16,-0.37,3014.78,3030.36,3030.36,2983.88,2258492,2025-05-16 13:14:00,2025-05-16,3550.96,2367.3,221066.61,18.11,165.85,Auto,2989.13,959585,78.91
NESTLEIND,2873.93,-26.12,-0.9,2900.05,2892.86,2895.57,2873.93,2306339,2025-05-16 13:14:00,2025-05-16,3300.91,2200.61,87942.23,21.75,132.13,Infrastructure,2873.8,1654170,64.97
MARUTI,11133.48,8.47,0.08,11125.01,11110.5,11133.48,11080.53,1222471,2025-05-16 13:13:00,2025-05-16,12420.9,8280.6,282790.44,21.32,522.21,Auto,11156.21,712743,71.61
TATAMOTORS,3204.99,-18.92,-0.59,3223.91,3237.3,3237.3,3186.89,1267948,2025-05-16 13:13:00,2025-05-16,3771.08,2514.06,142942.69,27.82,115.2,Auto,3198.11,629798,73.2
EICHERMOT,4583.86,-35.99,-0.78,4619.85,4597.24,4597.24,4572.28,2068859,2025-05-16 13:10:00,2025-05-16,5729.11,3819.41,148058.61,13.69,334.83,Oil & Gas,4572.26,1450822,62.26
DRREDDY,1202.64,-8.25,-0.68,1210.89,1209.07,1209.07,1197.29,1560506,2025-05-16 13:09:00,2025-05-16,1421.57,947.71,78411.85,11.76,102.26,Metal,1197.13,1167571,51.53
ONGC,3324.71,-63.02,-1.86,3387.73,3376.21,3376.21,3324.71,596022,2025-05-16 13:06:00,2025-05-16,4194.2,2796.14,118027.29,13.01,255.55,Oil & Gas,3336.48,246669,54.91
AXISBANK,1046.23,1.42,0.14,1044.81,1043.7,1046.23,1037.72,1781204,2025-05-16 13:05:00,2025-05-16,1260.36,840.24,42372.14,15.85,66.01,Banking,1050.09,806187,54.37
BAJAJ-AUTO,1168.44,-7.76,-0.66,1176.2,1182.95,1182.95,1158.74,553489,2025-05-16 13:05:00,2025-05-16,1320.2,880.14,45218.6,19.69,59.34,Oil & Gas,1162.75,379323,64.62
INFY,1372.95,-13.79,-0.99,1386.74,1371.44,1379.97,1370.04,1849973,2025-05-16 13:01:00,2025-05-16,1704.36,1136.24,59448.91,21.01,65.35,IT,1372.12,781123,64.79
M&M,2983.88,-30.9,-1.03,3014.78,3030.36,3030.36,2983.88,1152260,2025-05-16 13:00:00,2025-05-16,3550.96,2367.3,94588.85,19.0,157.05,Auto,2986.25,666854,70.31
MARUTI,11090.26,-34.75,-0.31,11125.01,11110.5,11110.5,11080.53,1725554,2025-05-16 12:57:00,2025-05-16,12420.9,8280.6,760791.89,24.66,449.73,Auto,11107.25,779040,60.42
ASIANPAINT,2937.9,-25.66,-0.87,2963.56,2951.12,2951.12,2937.9,1164794,2025-05-16 12:55:00,2025-05-16,3780.78,2520.52,179799.56,54.06,54.35,Paints,2929.26,717211,64.12
INFY,1379.97,-6.77,-0.49,1386.74,1371.44,1379.97,1370.04,2145401,2025-05-16 12:53:00,2025-05-16,1704.36,1136.24,68308.72,26.46,52.15,IT,1381.68,1045475,77.9
HINDUNILVR,2643.31,-14.25,-0.54,2657.56,2674.49,2674.49,2639.76,871221,2025-05-16 12:51:00,2025-05-16,3048.9,2032.6,210936.23,67.67,39.06,FMCG,2635.93,611259,51.6
